,TIMESTAMP,STARTING_LATITUDE,STARTING_LONGITUDE,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,VEHICLE_TYPE,TOTAL_LUGGAGE_WEIGHT,WAIT_TIME,TRAFFIC_STUCK_TIME,DISTANCE,FARE
TIMESTAMP,1.0,0.013442461829952075,0.0028478591799060565,0.015038186039978979,0.0030576162274726353,-0.008161183572542101,-0.006494637563037727,-0.0016912238321917176,-0.0011626840038910491,-0.007926442814929014,-0.008915497454632678
STARTING_LATITUDE,0.013442461829952075,1.0,0.18815215253745338,0.9998405140769173,0.18798765305311493,-0.010675655046633334,-0.028585963583842883,0.04009001359685017,-0.03401851159986875,-0.06787951032935316,0.2009477460105204
STARTING_LONGITUDE,0.0028478591799060565,0.18815215253745338,1.0,0.18796935894194342,0.9999005912435849,0.00215003652002938,-0.027184583205121755,0.009786542759779469,-0.009962382117728059,-0.022806565870942618,-0.045349849458655014
DESTINATION_LATITUDE,0.015038186039978979,0.9998405140769173,0.18796935894194342,1.0,0.18670318217807816,-0.010879902527007304,-0.027973211462842814,0.039510278083496095,-0.03258848603818188,-0.06791196176240881,0.20394574205380864
DESTINATION_LONGITUDE,0.0030576162274726353,0.18798765305311493,0.9999005912435849,0.18670318217807816,1.0,0.0011584427671112291,-0.028690614478076956,0.00997263290827173,-0.010180394024326293,-0.023388090711182134,-0.04524897637923244
VEHICLE_TYPE,-0.008161183572542101,-0.010675655046633334,0.00215003652002938,-0.010879902527007304,0.0011584427671112291,1.0,-0.00220115286805966,0.0043161281755877785,0.010874669944336652,0.004417049105244699,0.20203207814625512
TOTAL_LUGGAGE_WEIGHT,-0.006494637563037727,-0.028585963583842883,-0.027184583205121755,-0.027973211462842814,-0.028690614478076956,-0.00220115286805966,1.0,-0.007533612078373492,0.0067819206487971856,0.013603605966529783,-0.0027980688784049147
WAIT_TIME,-0.0016912238321917176,0.04009001359685017,0.009786542759779469,0.039510278083496095,0.00997263290827173,0.0043161281755877785,-0.007533612078373492,1.0,0.002183323187267254,-0.0047976557871253,0.030632051296318446
TRAFFIC_STUCK_TIME,-0.0011626840038910491,-0.03401851159986875,-0.009962382117728059,-0.03258848603818188,-0.010180394024326293,0.010874669944336652,0.0067819206487971856,0.002183323187267254,1.0,0.4655848320149728,0.1619360192793345
DISTANCE,-0.007926442814929014,-0.06787951032935316,-0.022806565870942618,-0.06791196176240881,-0.023388090711182134,0.004417049105244699,0.013603605966529783,-0.0047976557871253,0.4655848320149728,1.0,0.247396331748585
FARE,-0.008915497454632678,0.2009477460105204,-0.045349849458655014,0.20394574205380864,-0.04524897637923244,0.20203207814625512,-0.0027980688784049147,0.030632051296318446,0.1619360192793345,0.247396331748585,1.0
